課程名稱,授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
中國傳統生命禮俗,葉國良,107-1,,,56.67%,13.33%,30%,,,,,
中國傳統生命禮俗,彭美玲,109-2,17.65%,29.41%,52.94%,,,,,,,
中國傳統生命禮俗,葉國良,107-1,,25.33%,31.33%,43.33%,,,,,,
中華民國憲法及政府一,湯德宗,109-1,,29.51%,24.59%,45.90%,,,,,,
中華民國憲法及政府一,陳淳文,110-1,10.81%,10.81%,78.38%,,,,,,,
中華民國憲法及政府二,湯德宗,109-2,1.85%,7.41%,90.94%,,,,,,,
中華禪：安心之道的探索,陳平坤,107-2,31.37%,9.80%,58.82%,,,,,,,
公司治理與財務報表,傅文芳,109-1,14.09%,61.07%,24.83%,,,,,,,
分子生物學,靳宗洛,108-1,20%,16%,,,16%,12%,,,,
分子生物學,靳宗洛 ,109-2,,32.14%,14.29%,53.57%,,,,,,
分子美學,金必耀,108-2,23.16%,52.63%,24.21%,,,,,,,
分析化學一,廖尉斯,110-1,,,,,,,,83.78%,6.76%,9.46%
分析化學乙,何佳安,110-2,18.81%,15.84%,65.35%,,,,,,,
分析化學乙上,何佳安,109-1,,,,,,,,,87.91%,12.09%
分析化學丁,張哲政 ,107-1,,31.38%,39.89%,28.72%,,,,,,
分析化學丁,張哲政 ,107-1,,10.81%,13.51%,75.68%,,,,,,
分析化學以上,何佳安,110-1,33.33%,25.25%,41.41%,,,,,,,
分析化學實驗,張煥宗,109-2,,,,78%,30%,2%,,,,
分析化學實驗,張哲政 (01),107-1,12%,32%,56%,,,,,,,
分析導論一,陳俊全,107-1,22.68%,77.32%,,,,,,,,
分析導論一,張志中,110-1,,,,,,,,,81.67%,18.33%
分析導論一,陳俊全,109-1,,,,,,,,,85.87%,14.13%
分析導論二,陳俊全,107-2,14.74%,85.26%,,,,,,,,
化學實驗一,佘瑞琳(02),109-1,11.11%,25.93%,62.96%,,,,,,,
化學實驗二,佘瑞琳(02),109-2,14.81%,25.93%,59.26%,,,,,,,
化學實驗三,徐丞志(04),110-1,12.50%,50%,37.50%,,,,,,,
化學數學,許良彥,110-1,31.58%,38.60%,29.82%,,,,,,,
天文物理學導論,胡德邦,108-2,20%,80%,,,,,,,,
天氣與氣候,吳明進,107-2,15.28%,20.83%,63.89%,,,,,,,
天氣與氣候,吳明進,109-2,30.88%,,,,,,,,,
太極拳初級,施登堯(F6),110-1,41.30%,58.70%,,,,,,,,
太極拳初級,游添燈,110-1,10.26%,53.85%,35.90%,,,,,,,
太極劍,游添燈,109-1,13.56%,23.73%,62.71%,,,,,,,
太極劍,游添燈,108-2,,50.85%,28.81%,20.34%,,,,,,
巴里島甘美朗樂舞文化與實踐(克比亞),王櫻芬,110-1,,54.55%,27.27%,18.18%,,,,,,
心理及教育統計學上,徐永豐,108-1,,14.74%,14.74%,70.53%,,,,,,
心理及教育統計學下,徐永豐,108-2,6.02%,16.87%,77.11%,,,,,,,
心理實驗法上,郭柏呈,110-1,,,42.72%,16.50%,40.78%,,,,,
心智哲學,陳樂知,110-1,28.57%,20.00%,51.43%,,,,,,,
心靈洞察與發現熱情,錢玉芬,109-1,28.57%,71.43%,,,,,,,,
手球中級,許君恆,108-2,60.53%,39.47%,,,,,,,,
文化、社會與自然,黃宗儀,108-2,7.14%,92.86%,,,,,,,,
文化人類學,羅素玫,109-1,40%,60%,,,,,,,,
文化人類學,羅素玫,110-1,39.34%,22.95%,,,,,,,,
文字探勘初論,陳建錦,110-1,46.39%,,,,,,,,,
日文一上,賴建樺,110-1,56.76%,43.24%,,,,,,,,
日文一上,詹兆雯,107-1,28.95%,71.05%,,,,,,,,
日文一上,林姿妙,108-1,41.67%,36.11%,22.22%,,,,,,,
日文一上,曾寶儀,107-1,33.33%,25.00%,41.67%,,,,,,,
日文一上,賴建樺,108-1,,,,,,83.78%,5.41%,10.81%,,
日文一上,張鈞竹,107-1,27.03%,72.97%,,,,,,,,
日文一上,洪淑娟,108-1,48.57%,51.43%,,,,,,,,
日文一上,施佩伃,110-1,44.12%,,,,,,,,,
日文一上,黃意婷,109-1,65.79%,34.21%,,,,,,,,
日文一上,劉伊涵 (40),109-1,20%,37.14%,42.86%,,,,,,,
日文一上,李芸蓁,107-1,20.59%,79.41%,,,,,,,,
日文一下,林姿妙,108-2,17.95%,28.21%,53.85%,,,,,,,
日文一下,曾寶儀,107-2,48.48%,51.52%,,,,,,,,
日文一下,李芸蓁,108-2,,66.67%,10.00%,23.33%,,,,,,
日文一下,張鈞竹,107-2,33.33%,66.67%,,,,,,,,
日文一下,曾寶儀,107-2,39.29,21.43,39.29,,,,,,,
日文一下,洪淑娟,108-2,30.77%,69.23%,,,,,,,,
日文一下,黃佳鈴,109-2,51.52%,15.15%,33.33%,,,,,,,
日文一下,劉伊涵 (40),109-2,45.95%,16.22%,37.84%,,,,,,,
日文一下,李芸蓁,107-2,,50%,15.62%,34.38%,,,,,,
日文二上,林姿妙,109-1,25%,27.50%,47.50%,,,,,,,
日文二上,張鈞竹,108-1,22.86%,77.14%,,,,,,,,
日文二上,曾寶儀,108-1,,,65.85%,9.76%,24.39%,,,,,
日文二上,李芸蓁,109-1,45.71%,54.29%,,,,,,,,
日文二上,黃意婷,110-1,,,76.92%,5.13%,17.95%,,,,,
日文二上,洪淑娟 (26),110-1,26.32%,34.21%,39.47%,,,,,,,
日文二上,李芸蓁,108-1,41.03%,58.97%,,,,,,,,
日文二下,張鈞竹,108-2,45.45%,54.55%,,,,,,,,
日文二下,曾寶儀,108-2,54.55,24.24,21.21,,,,,,,
日文二下,施姵伃,109-2,41.38%,58.62%,,,,,,,,
日文二下,李芸蓁,108-2,29.63%,70.37%,,,,,,,,
日文三上,張鈞竹,109-1,19.15%,80.85%,,,,,,,,
日文三上,曾寶儀,110-1,52%,24%,24%,,,,,,,
日文三下,張鈞竹,109-2,55.17%,44.83%,,,,,,,,
日本歷史(師大課程),富田哲,109-1,0%,50%,50%,,,,,,,
日治臺灣聲音媒體,王櫻芬,110-1,40%,20%,40%,,,,,,,
月經:理論、思潮與行動 ,黃韻如,110-1,78.32%,20.28%,1.40%,,,,,,,
比較政府一,李鳳玉,110-1,,,,50.52%,11.34%,38.14%,,,,
水生生物學,王永松,109-1,,34.48%,65.42%,,,,,,,
水生生物學實驗,韓玉山,109-1,26.92%,38.46%,34.62%,,,,,,,
水資源概論,張斐章,107-2,24.38%,75.62%,,,,,,,,
火山災害與觀測,宋聖榮,109-2,,,61.54%,30.77%,7.69%,,,,,
火山學概論,宋聖榮,109-1,,,,82.14%,10.71%,7.14%,,,,
火山學概論實習,宋聖榮,109-1,,,59.09%,22.73%,18.18%,,,,,
世界史一,陳慧宏,110-1,,,,57.89%,14.04%,28.07%,,,,
世界史二,秦曼儀,108-2,,47.67%,23.26%,29.07%,,,,,,
凸函數最佳化,蘇柏青,109-2,86.87%,,,,,,,,,
北印度塔布拉古音樂文化與實踐,高玄,109-1,15.38%,84.62%,,,,,,,,
古代基督教歷史與文化,鄭仰恩 ,110-1,12.22%,60.00%,,,,,,,,
台灣女性人物群像,衣若蘭,107-2,29.17%,27.78%,43.06%,,,,,,,
史前史,江芝華,110-1,3.51%,,,,,,,,,
史學導論,方震華,107-2,,,,47.92%,14.58%,37.50%,,,,
司法心理學,趙儀珊,109-1,82.93%,17.07%,,,,,,,,
司法生物學,李俊億,107-2,,,,52.94%,41.18%,5.88%,,,,
市場與策略,李宗穎 ,108-2,20%,40%,40%,,,,,,,
布袋戲入門,黃僑偉,108-2,15.79%,60.53%,,,,,,,,
平臺策略,孔令傑,109-2,,,,16.18%,,,,,,
本地樹木,李靜峯,107-2,73.68%,26.32%,,,,,,,,
民事訴訟法甲上,許士宦,109-1,,7.14%,20.63%,72.22%,,,,,,
民事訴訟法甲下,陳瑋佑,109-2,13.18%,86.82%,,,,,,,,
民法身分法,黃詩淳,107-1,,,,,82.91%,7.59%,9.49%,,,
民法身分法,黃詩淳,108-1,,31.15%,26.78%,42.08%,,,,,,
民法物權,黃詩淳,107-2,,,,,,78.52%,7.38%,14.09%,,
民法物權,黃詩淳,108-2,13.43%,86.57%,,,,,,,,
民法債編各論,吳從周,109-1,,33.33%,30.95%,35.71%,,,,,,
民法債編總論一,陳忠五,107-2,7.76%,12.07%,80.17%,,,,,,,
民法債編總論一,陳自強,110-1,16.22%,,,,,,,,,
民法債編總論二,陳忠五,107-1,,,,,,61.72%,5.47%,32.81%,,
民法債編總論二,陳忠五,108-1,5.23%,11.11%,83.66%,,,,,,,
民法概要乙,林麗真,109-1,15.20%,84.80%,,,,,,,,
民法概要乙,洪瑞燦,108-1,,43.62%,23.40%,32.98%,,,,,,
民法概要乙,洪瑞燦,107-1,,,,71.81%,12.08%,16.11%,,,,
民法概要乙,李素華,108-2,32.49%,13.20%,54.31%,,,,,,,
民法總則,陳聰富,107-1,,26.03%,17.12%,56.85%,,,,,,
民商法專題,蕭忠仁,109-1,70%,30%,,,,,,,,
民族植物學研究與實作,羅素玫,107-1,0%,68.75%,31.25%,,,,,,,
民眾基本救護,陳石池,107-2,,54.41%,39.71%,5.88%,,,,,,
犯罪、毒品與人性,賴文崧,107-2,69.23%,30.77%,,,,,,,,
生物、演化與人,王道還,107-1,,,,,,,,,49.06%,50.94%
生物化學,李明學,110-1,26.97%,73.03%,,,,,,,,
生物化學乙上,果伽蘭,107-1,0.91%,3.64%,23.63%,23.63%,14.55%,8.18%,11.82%,37.27%,,
生物化學乙上,李平篤,107-1,8.65%,8.65%,82.69%,,,,,,,
生物化學乙上,張茂山,108-1,,,,,,65.71%,11.43%%,22.86%,,
生物化學乙下,蕭超隆,107-2,4.63%,10.08%,3.92%,,17.59%,42.59%,,,,
生物化學乙下,李平篤,107-2,,,,,22.55%,5.88%,71.57%,,,
生物化學實驗,張世宗,107-2,26.19%,73.81%,,,,,,,,
生物化學實驗,黃楓婷 (02),108-1,0%,29.41%,59.05%,59.05%,7.69%,3.85%,,,,
生物化學實驗,李明學,110-1,27.22%,47.78%,25%,,,,,,,
生物地球化學導論,王珮玲,110-1,,,90%,10%,0%,,,,,
生物多樣性概論,李玲玲,109-2,7.91%,34.53%,57.55%,,,,,,,
生物技術學,朱有田,107-1,100%,,,,,,,,,
生物科學繪圖,胡哲明,108-2,,52.94%,35.29%,11.76%,,,,,,
生物統計學,王慧瑜,108-1,,,,,,,,72.15%,3.80%,24.05%
生物資訊學之實用數據分析,伊藤剛,109-2,,,,41.67%,25.00%,33.33%,,,,
生物實驗統計方法,林恩仲,109-1,100%,,,,,,,,,
生痕化石,陳文山,110-1,,,,58.82%,35.29%,5.88%,,,,
生態學,李培芬,109-2,,29.03%,23.66%,47.31%,,,,,,
生態學實驗,李培芬,109-2,15.15%,84.85%,,,,,,,,
用Python與Excel學習統計模型思維,張佑成,110-1,74.68%,25.32%,,,,,,,,
田徑與慢跑,簡坤鐘,109-2,48.94%,51.06%,,,,,,,,
石油及天然氣資源導論,吳榮章,109-2,16.67%,,,,,,,,,
企業管理,林博文,108-1,19.15%,36.17%,44.68%,,,,,,,
伊斯蘭歷史與文化,初雅士,109-1,0%,17.14%,82.86%,,,,,,,
先秦道家哲學,魏家豪,107-1,,,,56.67%,16.67%,26.67%,,,,
全民國防教育軍事訓練課程－全民國防,荊元宙,109-2,40.25%,38.14%,17.13%,17.13%,17.13%,17.13%,17.13%,17.13%,17.13%,4.48%
全民國防教育軍事訓練課程－全民國防,荊元宙,110-1,97.12%,2.88%,,,,,,,,
全民國防教育軍事訓練課程－防衛動員,廖天威,109-2,10.33%,69.48%,20.19%,,,,,,,
全民國防教育軍事訓練課程－國防政策,余宗基(02),109-2,,,,,,87.80%,4.07%,8.14%,,
全民國防教育軍事訓練課程－國防政策,余宗基(01),109-2,,33.80%,21.13%,15.03%,15.03%,15.96%,14.08%,,,
全民國防教育軍事訓練課程－國際情勢,劉鐵軍(01),109-2,46.38%,31.16%,16.67%,5.80%,,,,,,
全民國防教育軍事訓練課程－國際情勢,劉鐵軍(02),109-2,50.00%,25.00%,25%,,,,,,,
全球通識講座-決策者的危機處理機制,徐斯勤,109-2,69.05%,,,,,,,,,
全球通識講座-認識全球,徐斯勤,109-1,66.12%,33.88%,,,,,,,,
全球通識講座-認識全球,徐斯勤,110-1,77.37%,,,,,,,,,
全球通識講座-認識全球(一),張慶瑞,107-1,36.22%,63.78%,,,,,,,,
刑事訴訟法,蘇凱平,107-2,28%,64%,8%,,,,,,,
刑事訴訟法,蘇凱平,108-2,,,37.50%,31.25%,31.25%,,,,,
刑事訴訟法,蘇凱平,110-1,2.24%,5.22%,92.54%,,,,,,,
刑法分則,周漾沂 ,108-1,,,,,,93.26%,4.49%,2.25%,,
刑法分則,周漾沂,108-2,20.22%,26.97%,52.81%,,,,,,,
刑法分則,謝煜偉,110-1,6.25%,,,,,,,,,
刑法學進階,周漾沂,109-1,48.24%,51.76%,,,,,,,,
刑法總則一,薛智仁,107-1,,,,52.29%,24.77%,22.94%,,,,
刑法總則二,薛智仁,107-2,,,73.03%,25.84%,1.12%,,,,,
印尼文二下,王麗蘭,107-2,,,70%,20%,10%,,,,,
在地酷兒文學與網路社群文化,鄭芳婷,107-2,50%,50%,,,,,,,,
地形學及實習,林俊全,108-1,,10.17%,13.56%,76.27%,,,,,,
地表作用與地形,徐澔德,110-1,,,,,,,,97.44%,2.56%,0%
地球內部物理化學,林佩瑩,109-2,100%,,,,,,,,,
地球化學分析與實務,朱美妃,110-1,66.67%,33.33%,0%,,,,,,,
地球化學原理（含實習）,沈川洲,110-1,19.05%,16.67%,64.29%,,,,,,,
地球及行星物理通論,趙丰,110-1,11.76%,,,,,,,,,
地球物理原理（含實習）,洪淑蕙,109-2,,,,,,,82.05%,5.13%,12.82%,
地球物質,鄧茂華,109-1,,,,,,47.73%,11.36%,40.91%,,
地球物質實習,朱美妃,109-1,5%,25%,70%,,,,,,,
地球構造,胡植慶,109-1,,,,,,,79.49%,10.26%,10.26%,
地球歷史,李紅春,109-2,,,,,,,,90.24%,9.76%,0
地球歷史實習,李紅春,109-2,,,,,,,,95.24%,2.38%,2.38%
地理資訊系統與考古學,吳牧錞,109-2,,20%,53.33%,26.67%,,,,,,
地圖與地理資訊系統,賴進貴,107-2,9.46%,28.38%,62.16%,,,,,,,
地質科學導論下,曾泰琳,109-2,,,41.86%,20.93%,37.21%,,,,,
地質調查二,徐澔德,109-2,,,,,,,,91.67%,8.33%,0.00%
地質調查二,宋聖榮,110-2,38.46%,61.54%,,,,,,,,
地質調查三,羅立,110-1,,50%,16.67%,33.33%,,,,,,
地質調查四,宋聖榮,110-2,42.86%,57.14%,,,,,,,,
地質論文寫作,鄧茂華,110-1,11.76%,,,,,,,,,
存在主義,鄭義愷,107-1,,,,52.17%,32.61%,15.22%,,,,
成本效益分析,吳舜文,110-1,,58.82%,29.41%,11.76%,,,,,,
有氧舞蹈,賴韻宇,107-2,57.38%,42.62%,,,,,,,,
有機化學,陳志堅,109-1,,,,40%,20%,40%,,,,
有機化學,汪根欉,107-2,,,,,,,,,71.76%,28.24%
有機化學,邱勝賢,108-2,,,,,,,,,55.86%,44.14%
有機化學,柳玗珍,109-2,,,76.47%,5.88%,17.65%,,,,,
有機化學,汪根欉 ,107-2,,,,,46.47%,9.41%,44.12%,,,
有機化學(二),游進陽,109-2,,,,,,,,50%,50%,
有機化學一,陳平,110-1,,46.27%,10.45%,43.28%,,,,,,
有機化學實驗,戴桓青,107-2,,,,,,88.33%,6.67%,5%,,
有機化學實驗,朱忠瀚（吳美伶）（08）,109-2,15.28%,84.72%,,,,,,,,
有機化學實驗,邱勝賢,108-2,,,,81.48%,12.96%,5.56%,,,,
有機化學實驗,戴桓青(06),107-2,,26.67%,31.67%,41.67%,,,,,,
羽球初級,陳美莉,108-1,16.67%,83.33%,,,,,,,,
羽球初級,呂碧琴,109-1,21.88%,46.88%,31.25%,,,,,,,
羽球初級,連家瑩,108-1,,,,,98.18%,1.82%,0.00%,,,
羽球初級,黃國恩（15）,110-1,25.58%,41.86%,32.56%,,,,,,,
老子甲上,盧桂珍,108-1,18.75%,37.50%,,,,,,,,
老子甲上,盧桂珍,107-1,17.14%,42.86%,40.00%,,,,,,,
老子甲下,盧桂珍,108-2,17.24%,37.93%,,,,,,,,
老子甲下,盧桂珍,107-2,20.00%,53.33%,26.67%,,,,,,,
考古學概論,陳有貝,109-1,,,69.44%,25.00%,6%,,,,,
考古學概論,陳有貝,110-1,,61.97%,25.35%,12.68%,,,,,,
肉品學,陳億乘,107-2,40.91%,59.09%,,,,,,,,
肉品學實習,陳億乘,107-2,13.89%,52.78%,33.33%,,,,,,,
自動機與形式語言,陳偉松,109-1,,40.71%,5.31%,53.98%,,,,,,
自然地理學通論,黃倬英,107-1,,25%,31.82%,43.18%,,,,,,
行政法,林明昕,109-2,27.37,72.63,,,,,,,,
行政救濟法,李建良,107-2,18.45%,53.88%,27.67%,,,,,,,
行政學一,洪美仁,109-1,,61.90%,19.05%,19.05%,,,,,,
行政學一,吳舜文,110-1,5.15%,22.68%,72.16%,,,,,,,
行政學二,洪美仁,109-2,,47.71%,25.69%,26.61%,,,,,,
西班牙文二上,馬里奧,107-1,,54.05%,24.32%,21.62%,,,,,,
西班牙文二下,張雯媛 ,107-2,,,,,88.89%,8.33%,2.78%,,,
伴侶動物學,林美峰,108-2,16.67%,83.33%,,,,,,,,
伴侶動物學,魏恒巍,109-1,36.11%,63.89%,,,,,,,,
作物分子育種學,林順福,108-2,,63.16%,10.53%,26.32%,,,,,,
作物生理學,張孟基,108-1,2.70%,21.62%,75.68%,,,,,,,
作物生產概論,莊汶博,108-2,37.21%,62.79%,,,,,,,,
作物育種方法,林順福,108-1,39.29%,28.57%,32.14%,,,,,,,
作物育種學,林順福,107-2,,,,41.67%,11.11%,47.22%,,,,
作物學甲,常玉強,108-2,46.30%,53.70%,,,,,,,,
作物學各論一,莊汶博,107-1,21.05%,78.95%,,,,,,,,
作物學各論二,張孟基,107-2,11.36%,9.09%,79.55%,,,,,,,
作物學實習一,莊汶博,107-1,84.85%,15.15%,,,,,,,,
作物學實習二,莊汶博,107-2,10.53%,50.00%,39.47%,,,,,,,
作業系統,薛智文,108-2,21.05%,21.46%,57.49%,,,,,,,
作業研究,孔令傑,108-2,10.29%,45.59%,,,,,,,,
宋明理學,陳志強,110-1,19.35%,25.81%,54.84%,,,,,,,
宋詞之美,劉少雄,109-1,13.50%,86.50%,,,,,,,,
希伯來經典與世界文明,曾宗盛,109-1,23.08%,36.92%,40%,,,,,,,
希伯來經典與世界文明,曾宗盛,110-1,15.62%,84.38%,,,,,,,,
投資學,陳彥行,108-1,,,,78.35%,8.25%,13.40%,,,,
投資學,陳其美,109-2,,,50%,10%,40%,,,,,
系統程式設計,鄭卜壬,108-1,30.72%,69.28%,,,,,,,,
系統程式設計,鄭卜壬,110-1,19.68%,10.64%,69.68%,,,,,,,
足球初級,楊裕隆,107-1,30.56%,69.44%,,,,,,,,
身分法實例演習,黃詩淳,110-1,50,50,,,,,,,,
乳牛學,徐濟泰,108-2,6.45%,12.90%,25.81%,3.23%,19.35%,32.26%,,,,
乳牛學實習,王佩華,108-2,0%,20%,66.67%,3.33%,10%,,,,,
乳品學,陳明汝,108-1,39.74%,23.08%,37.18%,,,,,,,
乳品學,王聖耀,110-1,39.39%,19.70%,40.91%,,,,,,,
乳品學實習,王聖耀,108-1,29.03%,32.26%,25.81%,12.90%,,,,,,
使用者經驗設計,黃仲菁,107-1,30.23%,53.49%,16.28%,,,,,,,
性別、歷史與臺灣小說,張俐璇,109-1,25%,75%,,,,,,,,
性別、歷史與臺灣小說,張俐璇,110-1,23.4,42.55,34.04,,,,,,,
昆蟲與人生,楊恩誠,107-1,3.81%,43.32%,52.86%,,,,,,,
服裝技術一,王怡美(01),109-1,,,55%,20%,25%,,,,,
東亞近代文學選讀,張文薰,109-1,35.71%,47.62%,16.67%,,,,,,,
東亞現代史,羅士傑,109-1,29.23%,40%,24.11%,2.56%,4.10%,,,,,
東坡詞,劉少雄,107-2,19.19%,34.88%,45.93%,,,,,,,
果樹學,陳右人 ,106-2,26.76%,73.24%,,,,,,,,
法文一上,謝艾米,109-1,48.72%,51.28%,,,,,,,,
法文一上,陳素麗,110-1,50.00%,,,,,,,,,
法文一上,陳素麗(06),109-1,18.92%,81.08%,,,,,,,,
法文一下,謝艾米,109-2,39.39%,60.61%,,,,,,,,
法文一下,陳素麗(06),109-2,18.18%,39.39%,42.42%,,,,,,,
法文二上,林湘漪(05),110-1,31.43%,68.57%,,,,,,,,
法律史,陳昭如,108-2,2.08,11.46,86.46,,,,,,,
法理學,顏厥安,107-1,,,42.74%,8.55%,48.72%,,,,,
法理學,顏厥安,109-2,,25.26,17.89,56.84,,,,,,
法學緒論,陳昭如,107-1,,,35.19,20.37,44.44,,,,,
物件導向程式語言,黃乾綱,109-2,15.49%,46.48%,38.03%,,,,,,,
知識管理,吳玲玲,109-2,27.78%,44.44%,27.78%,,,,,,,
社會工作研究方法上,許正熙,110-1,67.21%,21.31%,11.48%,,,,,,,
社會工作概論上,林敬軒,109-1,,,61.54%,7.69%,30.77%,,,,,
社會工作概論下,林敬軒,109-2,,34.38%,25%,40.62%,,,,,,
社會心理學,傅從喜,109-2,,,73.33%,10.67%,16%,,,,,
社會個案工作,林敬軒,110-1,,,,90.62%,3.12%,6.25%,,,,
社會統計,郭乃菱,110-1,9.59%,24.66%,65.75%,,,,,,,
社會統計,陳毓文,109-2,,,,,83.87%,6.45%,9.68%,,,
社會學,吳嘉苓（01）,109-2,57.02%,42.98%,,,,,,,,
社會學,曾嬿芬,109-1,16.54%,56.39%,27.07%,,,,,,,
空間分析,溫在弘,108-2,52.63%,47.37%,,,,,,,,
空間資料蒐集方法,莊昀叡,109-1,37.50%,62.50%,,,,,,,,
花卉學,葉德銘,107-1,,31.58%,18.95%,11.57%,14.74%,23.16%,,,,
花卉學實習,葉德銘,107-1,27.78%,47.22%,25%,,,,,,,
表演一上,朱靜美(01),109-1,,,,95.24%,4.76%,,,,,
表演一下,林見朗(01),109-2,,,94.74%,5.26%,,,,,,
近代物理學實驗,張顏暉,108-2,20%,67.50%,12.50%,,,,,,,
金融科技導論,張智星,109-2,,,52.44%,13.41%,34.15%,,,,,
金融倫理與社會責任,池祥麟,109-1,51.06%,48.94%,,,,,,,,
金融與產業實務課程一,林明仁,108-1,29.29%,24.24%,46.46%,,,,,,,
金融機構管理,陳業寧,108-2,,,,57.14%,12.50%,30.36%,,,,
青少年心理學,雷庚玲,110-1,42.55%,57.45%,,,,,,,,
保險法,汪信君,109-1,,,,66.06%,13.76%,20.18%,,,,
前瞻資訊科技一,陳縕儂,108-1,52.63%,47.37%,,,,,,,,
前瞻資訊科技一,陳縕儂,110-1,58.06%,41.94%,,,,,,,,
前瞻資訊科技二,陳縕儂,108-2,62.07%,37.93%,,,,,,,,
城鄉 、區域與發展,徐進鈺,108-1,6.52%,13.04%,80.43%,,,,,,,
室內五人制足球初級,楊裕隆,109-1,20%,44.44%,35.56%,,,,,,,
室內五人制足球初級,楊裕隆,107-2,45.83%,37.50%,16.67%,,,,,,,
政治學一,黃長玲,109-1,,21.21%,40.40%,38.38%,,,,,,
政治學一,張貴閔,110-1,16.67%,25.93%,57.41%,,,,,,,
政治學二,黃長玲,109-2,,29.03%,40.86%,30.11%,,,,,,
政治學概論,王業立,107-1,20.54%,17.86%,61.61%,,,,,,,
柔道初級,黃國恩,109-2,74.42%,25.58%,,,,,,,,
毒道之處～看不見的危機!,姜至剛,110-1,31.68%,40.99%,27.33%,,,,,,,
活出快樂:科學實證與演練,戴可馨(03),110-1,82.57%,17.43%,,,,,,,,
