"課程名稱",授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
"工程圖學",林宗岳,1111,40%,40%,,,,,,,,
"工程圖學",林宗岳,1111,20%,40%,,,,,,,,
"工程圖學",謝依芸,1111,25.00%,,,,,,,,,
"工程數學-微分方程(一)",丁建均,1111,27.52%,39.45%,,,,,,,,
"工程數學-微分方程(一)",黃定洧,1111,26.83%,,,,,,,,,
"工程數學-微分方程(一)",丁建鈞,1112,27.52,39,,,,,,,,
"工程數學-微分方程(一)",丁建均,1121,,,15.27%,,,,,,,
"工程數學-線性代數",李宏毅,1111,15.48%,,,,,,,,,
"工程數學-線性代數",蘇柏青,1121,22.03%,,,,,,,,,
"工程數學-線性代數	",楊東霖,1111,13.04%,19.57%,,,,,,,,
"工程數學-複變",王暉,1112,,,9.09%,,,,,,,
"工程數學-複變",王暉,1112,29.55%,,,,,,,,,
"工程數學-複變",李君浩,1121,24.69%,,,,,,,,,
"工程數學一",王昭男,1111,28.85%,,,,,,,,,
"工程數學一",顏炳郎,1111,57.38%,42.62%,,,,,,,,
"工程數學二",胡明哲,1112,6.67%,15.56%,,,,,,,,
"工程數學上",黃信富,1111,,,12.12%,,,,,,,
"工程數學上",蕭浩明,1111,,,14.67%,,,,,,,
"工程數學下",蕭浩明,1112,25.33%,,,,,,,,,
"中級會計學",林琬琬,1111,30%,,,,,,,,,
"中級會計學上",吳淑玲,1121,59.83%,,,,,,,,,
"中級會計學上",廖芝嫻,1121,50%,,,,,,,,,
"中國大陸政府與政治",陶儀芬,1111,,,,,8.97%,,,,,
"中國大陸政治經濟發展",徐斯勤,1102,,,64.29%,,,,,,,
"中國大陸奢侈品消費的政治風險分析",黃旻華,1112,,,16%,8%,,,,,,
"中國史二",韓承樺,1112,16.28%,,,,,,,,,
"中國史上的人物與世運一",宋家復,1111,0%,14.91%,,,,,,,,
"中國史上的人物與世運一",宋家復,1111,,,,16.67%,,,,,,
"中國考古學",高德,1111,25%,,,,,,,,,
"中國近代思想史",吳展良,1112,,,,,2.86%,,,,,
"中國政治制度史",甘懷真,1111,23.91%,30.43%,,,,,,,,
"中國傳統法律、文化與社會",陳俊強,1112,35.48%,,,,,,,,,
"中國繪畫史",林聖智,1111,12%,30.67%,,,,,,,,
"中華民國對外關係",陳世民,1111,7.52%,34.59%,,,,,,,,
"中華民國憲法及政府一",陳淳文,1111,21.21%,,,,,,,,,
"中華民國憲法與政府一",湯德宗,1111,1.20%,2.60%,10.39%,,,,,,,30%
"中華民國憲法與政府一",湯德宗,1111,,,,6.49%,,,,,,
"中華民國憲法與政府一",蔡季廷,1121,7.62%,9.52%,,,,,,,,
"公司治理與財務報表",傅文芳,1111,16.06%,56.93%,,,,,,,,
"公民記者初階與實務",林郁君,1111,,,,,,100%,,,,
"公部門人力資源管理",洪美仁,1111,,,,,,2.13%,,,,
"分子生物學",靳宗洛,1111,,,,,4.08%,,,,,
"分析化學實驗",徐丞志,1111,,,,,,,5.77%,,,
"分析導論一",夏俊雄,1111,20%,,,,,,,,,
"分析導論一",夏俊雄,1111,,,,,18%,,,,,
"分析導論一",夏俊雄,1111,,,,,,,,24%,,
"分析導論一",陳俊全,1121,6.82%,17.05%,,,,,,,,
"分析導論二",夏俊雄,1112,12.50%,14.58%,,,,,,,,
"化石",林日白,1111,10%,40%,,,,,,,,
"化石實習",林日白,1111,25%,,,,,,,,,
"化學工程概論",徐振哲,1111,,33.33%,,,,,,,,
"天氣與氣候",吳明進,1112,,,,18.33%,,,,,,
"太極拳初級",游添燈,1111,11.54%,51.92%,,,,,,,,
"太極拳初級",施登堯,1111,39.39%,,,,,,,,,
"太極拳初級",游添燈,1112,11.32%,33.96%,,,,,,,,
"心理及教育統計學上",姚開屏,1111,,,,,12.94%,,,,,
"心理及教育統計學下",姚開屏,1112,34.07%,17.58%,,,,,,,,
"心理健康促進與自殺防治",吳佳儀,1112,32.95%,37.50%,,,,,,,,
"心理與神經資訊學",黃從仁,1111,68.63%,,,,,,,,,
"心與腦",賴文崧,1112,66.97%,,,,,,,,,
"手球初級",許君恆,1111,61.76%,,,,,,,,,
"文化人類學丙",呂欣怡,1112,28%,,,,,,,,,
"文化人類學丙",呂欣怡,1112,,,22.67%,,,,,,,
"文化田野實習與方法上",張正衡,1111,,,35%,,,,,,,
"文化田野實習與方法下",張正衡,1112,,,10%,,,,,,,
"文化思想傳統對現代經濟與社會發展的影響",梁明義,1111,38%,,,,,,,,,
"文化創意與品牌建立途徑與實務",陳郁秀,1111,43.75%,39.58%,,,,,,,,
"文化資產的歷史學",陳冠妃,1121,,,23.08%,0%,0%,0%,0%,0%,0%,0%
"文字探勘初論",陳建錦,1111,,,27.27%,,,,,,,
"文字探勘初論",陳建錦,1111,29.29%,32.32%,,,,,,,,
"文字學乙上",林宏佳,1111,20%,,,,,,,,,
"文學作品讀法上",李欣穎,1111,14%,,,,,,,,,
"文學作品讀法下",王沐嵐,1122,13.95%,13.95%,,,,,,,,
"文藝復興史",陳慧宏,1122,27.27%,,,,,,,,,
"日文一上",劉伊涵,1111,58.82%,,,,,,,,,
"日文一上",李欣倫,1111,72.97%,,,,,,,,,
"日文一上",黃佳齡,1111,42.86%,,,,,,,,,
"日文一上",柯惠真,1111,23.08%,,,,,,,,,
"日文一上",賴建樺,1111,41.38%,,,,,,,,,
"日文一上",彭誼芝,1111,,,,,8.33%,,,,,
"日文一上",江佩璇,1111,,,,,,,16.67%,,,
"日文一上",曾寶儀,1111,70%,,,,,,,,,
"日文一上",守時愛里,1111,38.46%,,,,,,,,,
"日文一上",池田晶子,1111,,,,10%,,,,,,
"日文一上",李欣倫,1111,54.55%,,,,,,,,,
"日文一上",江佩璇,1121,54.29%,,,,,,,,,
"日文一下",曾寶儀,1112,78.95%,,,,,,,,,
"日文一下",許惠晴,1112,37.50%,37.50%,,,,,,,,
"日文一下",柯惠真,1112,30.30%,,,,,,,,,
"日文一下",李欣倫,1112,54.55%,,,,,,,,,
"日文一下",劉伊涵,1122,39.29%,,,,,,,,,
"日文二上",池田晶子,1111,,,,13.04%,,,,,,
"日文二上",黃佳鈴,1111,40.54,24.32,,,,,,,,
"日文二上",張鈞竹,1111,25.93%,,,,,,,,,
"日文二上",曾寶儀,1121,67.50%,15%,,,,,,,,
"日文二上",黃意婷,1121,60.00%,,,,,,,,,
"日文二下",詹兆雯,1112,32.14%,28.57%,,,,,,,,
"日文二下",張鈞竹,1112,26.32%,,,,,,,,,
"日文二下",石川隆男,1122,78.12%,,,,,,,,,
"日文三上",詹兆雯,1111,,,15.69%,,,,,,,
"日文上",洪瑟君,1111,15.38%,,,,,,,,,
"日本外交探討",何思慎,1122,64.41%,,,,,,,,,
"月經:理論、思潮與行動",黃韻如,1111,61.27%,,,,,,,,,
"月經:理論、思潮與行動",黃韻如,1121,62.10%,,,,,,,,,
"比較政府一",蘇翊豪,1111,,,,,,,,,4.44%,
"比較政府一",蘇翊豪,1111,18.89%,,,,,,,,,
"比較政府一",蘇翊豪,1111,,,17.22%,,,,,,,
"比較政府一",蘇翊豪,1111,18.89%,,,,,,,,,
"比較政府二",蘇毅豪,1112,15.95%,26.99%,,,,,,,,
"比較政府二",蘇翊豪,1112,,,20.86%,,,,,,,
"比較教育",許育萍,1121,27.27%,63.64%,,,,,,,,
"水文學",許少瑜,1112,47.06%,,,,,,,,,
"水文學",蔡宛珊,1121,23.33%,46.67%,,,,,,,,
"水生生物生理學",王永松,1111,21.71%,13.04%,,,,,,,,
"水生生物學",王永松,1111,0%,45.65%,,,,,,,,
"水產養殖技術",韓玉山,1111,23.81%,59.52%,,,,,,,,
"水資源概論",張斐章,1112,22.27%,38.87%,,,,,,,,
"世界史一",楊肅献,1111,,,,28%,,,,,,
"世界史二",秦曼儀,1112,10.84%,25.30%,,,,,,,,
"世界地理",許嘉麟,1112,50%,,,,,,,,,
"代數導論一",陳榮凱,1111,,,,,,,,,16.92%,10.77%
"代數導論一",陳榮凱,1111,18.46%,,,,,,,,,
"以Excel進行資料分析",林友瑜,1111,,,20%,,,,,,,
"以Excel進行資料分析",林友瑜,1111,16.84%,24.21%,,,,,,,,
"以Excel進行資料分析",林友瑜,1111,,,,,10.53%,,,,,
"以Excel進行資料分析",林友瑜,1122,20.21%,,,,,,,,,
"古代基督教歷史與文化",鄭仰恩,1111,,,24.69%,,,,,,,
"台灣南島民族誌",王梅霞,1111,12.82%,,,,,,,,,
"台灣經濟史",葉淑貞,1101,92.59%,,,,,,,,,
"史前史",陳瑪玲,1121,,,27.45%,,,,,,,
"史學經典選讀：史記與兩漢書",閻鴻中,1121,,,13.04%,,,,,,,
"史學導論",方震華,1112,26.19%,,,,,,,,,
"布農族語一上",余榮德,1121,55.88%,,,,,,,,,
"民事訴訟法甲上",吳從周,1121,,,38.10%,,,,,,,
"民法（一）",林安邦,1112,66.67%,,,,,,,,,
"民法身分法",陳韻如,1111,63%,,,,,,,,,
"民法身分法",黃詩淳,1112,15%,15%,,,,,,,,
"民法物權",黃詩淳,1111,,,,,,,,,1.44%,2.88%
"民法物權",黃詩淳,1111,,,27.34%,,,,,,,
"民法物權",顏佑紘,1112,14.78%,26.09%,,,,,,,,
"民法債編各論",吳從周,1111,16.13%,27.42%,,,,,,,,
"民法債編各論",張譯文,1111,12.64%,,,,,,,,,
"民法債編各論",徐婉寧,1112,17.78%,18.89%,,,,,,,,
"民法債編各論",張譯文,1122,,,,10.34%,,,,,,
"民法債編總論",吳從周,1112,14.86%,18.92%,,,,,,,,
"民法債編總論一",陳忠五,1112,4.76%,,,,,,,,,
"民法債編總論一",吳從周,1112,,,,,,12.16%,,,,
"民法債編總論二",顏佑紘,1111,15.62%,29.17%,,,,,,,,
"民法債編總論二",顏佑紘,1111,,,,,,5.21%,,,,
"民法債編總論二",張譯文,1122,,,,,11.70%,,,,,
"民法概要",林聰賢,1111,86.72%,,,,,,,,,
"民法概要乙",洪瑞燦,1111,21.90%,,,,,,,,,
"民法概要乙",楊舒嵐,1111,28.57%,,,,,,,,,
"民法概要乙",洪瑞燦,1111,,21.90%,,,,,,,,
"民法概要乙",楊舒嵐,1111,28.57%,20.50%,,,,,,,,
"民法概要乙",李素華,1112,32.46%,,,,,,,,,
"民法概要乙",游啟璋,1121,10%,20%,,,,,,,,
"民法概要乙",楊舒嵐,1111,28.57%,,,,,,,,,
"民法總則",陳自強,1111,24.75%,,,,,,,,,
"民法總則",陳聰富,1111,,,,,,,,,15.86%,4.14%
"民法總則",陳聰富,1111,11.03%,,,,,,,,,
"民法總則",陳聰富,1111,11.03%,11.72%,,,,,,,,
"民法總則",陳自強,1121,,,,6.92%,,,,,,
"民族舞蹈",林子文,1112,60.71%,,,,,,,,,
"民眾基本救護",陳石池,1111,15.52%,,,,,,,,,
"民眾基本救護",陳石池,1111,15.52%,48.28%,,,,,,,,
"民眾基本救護",陳石池,1111,15.52%,,,,,,,,,
"永續發展與社會 (一)",黃淑怡,1121,100.00%,,,,,,,,,
"永續綠建築",黃國倉,1112,25.81%,67.74%,,,,,,,,
"犯罪、毒品與人性",賴文崧,1111,63.02%,,,,,,,,,
"犯罪、毒品與人性",賴文崧,1112,59.71%,,,,,,,,,
"生成式人工智慧導論",李宏毅,1122,87.08%,,,,,,,,,
"生命美學",孫效智,1122,42.11%,31.57%,21.05%,,,,,,,
"生物化學",李明學,1111,,,,,,,3.21%,,,
"生物化學",李明學,1111,19.25,,,,,,,,,
"生物化學實驗",李明學,1111,6.15%,,,,,,,,,
"生物代謝體分析技術導論",李宗徽,1111,25%,,,,,,,,,
"生物多樣性概論",丁宗蘇,1111,,,,,,,,,,2.70%
"生物序列分析演算法",趙坤茂,1111,55.88%,,,,,,,,,
"生物統計學",張志豪,1111,29.41%,,,,,,,,,
"生物統計學二",洪弘,1111,15.56%,20%,,,,,,,,
"生物環境系統工程",余化龍,1101,46.81%,,,,,,,,,
"生理學甲上",胡孟君,1111,6.29%,,,,,,,,,
"生態檢核",劉奇璋,1111,65%,35%,,,,,,,,
"田園生活體驗二",盧炯敏,1121,37.50%,,,,,,,,,
"石油地質學",吳榮章,1111,28.57%,35.71%,,,,,,,,
"交換電路與邏輯設計",吳安宇,1111,,,,,,,7.78%,,,
"交換電路與邏輯設計",盧奕璋,1111,,,7.27%,,,,,,,
"交換電路與邏輯設計",江介宏,1111,,,,12.24%,,,,,,
"企業管理",陳家麟,1111,11.32%,31.13%,,,,,,,,
"先秦道家哲學",魏家豪,1111,14.63%,26.83%,,,,,,,,
"光機電系統設計與製造一",黃君偉,1111,67.21%,,,,,,,,,
"全民國防教育軍事訓練課程－國際情勢",劉鐵軍,1111,4.59%,,,,,,,,,
"全民國防教育軍事訓練課程－國際情勢",劉鐵軍,1111,7.07%,19.19%,,,,,,,,
"全民國防教育軍事訓練課程－國際情勢",劉鐵軍,1122,,,29.41%,,,,,,,
"全球通識講座-認識全球",馮燕,1111,80%,,,,,,,,,
"全球通識講座-認識全球",徐斯勤,1111,80%,,,,,,,,,
"全球通識講座-認識全球",馮燕,1111,80%,,,,,,,,,
"刑事政策專題研究",王皇玉（四人合授）,1112,21.43,,,,,,,,,
"刑事訴訟法",蘇凱平,1111,12.21%,,,,,,,,,
"刑事訴訟法",蘇凱平,1121,12.36%,21.35%,,,,,,,,
"刑事訴訟法",林鈺雄,1122,,,,,,13.79%,,,,
"刑法分則",許恒達,1111,,,49.33%,,,,,,,
"刑法分則",許恒達,1111,,,49.33%,,,,,,,
"刑法爭議問題專題討論",許恒達,1111,21.59%,,,,,,,,,
"刑法爭議問題專題討論",許恒達,1111,21.59%,22.73%,,,,,,,,
"刑法總則一",謝煜偉,1111,9.43%,15.09%,,,,,,,,
"刑法總則一",周漾沂,1111,18.46%,30.77%,,,,,,,,
"刑法總則一",王皇玉,1121,,,29.86%,,,,,,,
"刑法總則一",王皇玉,1121,24.31%,32.64%,,,,,,,,
"刑法總則二",王皇玉,1112,20.80%,,,,,,,,,
"刑法總則二",謝煜偉,1112,11.11%,,,,,,,,,
"印尼文一上",王麗蘭,1111,,38.46%,,,,,,,,
"地理資訊系統應用",闕蓓德,1121,,37.93%,,,,,,,,
"地質調查導論二",合授,1122,3.12%,53.12%,,,,,,,,
"有限元素法",葉仲基,1111,22.22%,,,,,,,,,
"有氧+塑身",有氧+塑身,1122,25.53%,,,,,,,,,
"有機化學",楊吉水,1112,,,,8.77%,,,,,,
"有機化學",楊吉水,1112,,,,,7.02%,,,,,
"有機化學",邱勝賢,1112,,,,,,,,,,40.59%
"有機化學乙上",梁文傑,1111,,,,,,,,,,7.56%
"有機化學乙上",詹益慈,1111,0%,,,,,,,,,81.45%
"有機化學實驗",朱忠瀚,1112,,,48%,,,,,,,
"羽球初級",連家瑩,1111,40%,,,,,,,,,
"羽球初級",陳美莉,1111,24.44%,42.22%,,,,,,,,
"羽球初級",連家瑩,1111,40%,27.27%,,,,,,,,
"羽球初級",李文心,1112,48%,46%,,,,,,,,
"羽球初級",李坤培,1112,24.56%,47.37%,,,,,,,,
"羽球初級",李坤培,1112,,,26.32,,,,,,,
"羽球初級",陳美莉,1112,41.67,,,,,,,,,
"羽球初級",洪巧菱,1112,94.87%,,,,,,,,,
"羽球初級",黃國恩,1122,39.13%,,,,,,,,,
"羽球初級",黃欽永,112-2,18.75%,,,,,,,,,
"羽球初級",陳美莉,1112,62.16%,,,,,,,,,
"考古學史",陳瑪玲,1111,,,,22.22%,,,,,,
"自動機與形式語言",林智仁,1111,9.41%,15.29%,,,,,,,,
"自然地理學通論",黃倬英 ,1111,43.33,25,,,,,,,,
"自然保護區管理",盧道杰,1111,,62.5,37.5,,,,,,,
"自然保護區管理實習",盧道杰,1111,,37.50%,62.50%,,,,,,,
"行政法",林明昕,1111,1.79%,,,,,,,,,
"行政法",林明昕,1111,,,36.61%,,,,,,,
"行政救濟法",李建良,1112,1.84%,,,,,,,,,
"行政學一",吳舜文,1111,12.50%,,,,,,,,,
"行星及地球物理通論",趙丰,1111,30%,,,,,,,,,
"行銷管理",簡怡雯,1111,51.35%,12.16%,,,,,,,,
"西方法治思想史",莊世同,1112,,,11.59%,,,,,,,
"西洋文學概論一",李佑金,1111,30.77%,,,,,,,,,
"西洋文學概論二",凱羅榮,1122,,,23.68%,,,,,,,
"西洋政治哲學一",陳思賢,1111,,27.12%,,,,,,,,
"西洋政治哲學一",陳思賢,1111,,,,,,,,2.54%,,
"西洋政治哲學一",陳思賢,1121,11.11%,35.67%,,,,,,,,
"西班牙文一上",馬德睿,1111,37.33%,30.67%,,,,,,,,
"西班牙文一上",劉姿妤,112,50%,,,,,,,,,
"西班牙文一下",馬德睿,1112,44.78%,,,,,,,,,
"西班牙文一下",丹倪,1112,,,18.52%,,,,,,,
"西班牙文一下",劉姿妤,1122,45.83%,,,,,,,,,
"西班牙文一下",馬德睿,1122,47.83%,,,,,,,,,
"西班牙文二上",安志偉,1111,60.71%,39.29%,0%,0%,0%,0%,0%,0%,0%,0%
"西班牙文二上",張雯媛,1111,,,17.24%,,,,,,,
"西班牙文二下",安志偉,1112,41.94%,,,,,,,,,
"西歐文明：上古到1400",陳慧宏 ,1121,28.48%,,,,,,,,,
"佛教．禪與人生	",羅鈴沛,1112,24.24%,,,,,,,,,
"作物學各論一",莊汶博,1111,,17.14%,,,,,,,,
"作業系統",施吉昇,1102,,,18.81%,,,,,,,
"作業系統",施吉昇,1112,7.21%,18.92%,,,,,,,,
"作業系統",陳建錦,1112,46.32%,18.95%,,,,,,,,
"作業系統",陳建錦,1112,46.32%,,,,,,,,,
"作業研究",孔令傑,1112,34.52%,,,,,,,,,
"作業研究",孔令傑,1112,34.52%,26.19%,,,,,,,,
"作業管理",蔣明晃,1111,15.79%,,,,,,,,,
"即時系統",郭大維,1111,54.17%,,,,,,,,,
"宋詞之美",劉少雄,1111,16.44%,34.25%,,,,,,,,
"投資學",王之彥,1111,25%,16.35%,,,,,,,,
"投資學",何耕宇,1111,12.70%,23.81%,,,,,,,,
"投資學",陳聖賢,1111,,,,,,,2.94%,,,
"投資學",王之彥,1111,25%,16.35%,,,,,,,,
"材料力學",盧中仁,1112,,,,9.26%,,,,,,
"材料科學導論一",林招松.蔡劭璞,1111,28.57%,,,,,,,,,
"沈積地層學概論",張日新,1111,22.22%,,,,,,,,,
"系統程式設計",鄭卜壬,1111,17.43%,,,,,,,,,
"足球初級",楊裕隆,1111,,46.30%,,,,,,,,
"足球初級",楊裕隆,1111,38.89%,,,,,,,,,
"典藏自然：自然史博物館巡禮",胡哲明,1111,,,61.54%,,,,,,,
"協調溝通與衝突管理	",徐顯國,1111,32%,,,,,,,,,
"固態物理導論",謝馬利歐,1111,17.86%,39.29%,,,,,,,,
"定向越野",莊珮琪,1111,71.05%,,,,,,,,,
"定向越野",莊珮琪,1111,85%,,,,,,,,,
"定向越野",莊珮琪,1122,88.89,,,,,,,,,
"性別面面觀",葉德蘭,1111,30.61%,25.51%,,,,,,,,
"昆蟲與人生",楊恩誠,1111,29.18%,,,,,,,,,
"東西哲學家的生命智慧",李賢中,1122,5.33%,21.33%,,,,,,,,
"東坡詞",劉少雄,1111,15.91%,,,,,,,,,
"東南亞文史學堂",高嘉謙,1122,23.47%,46.94%,,,,,,,,
"法文一上",陳維玲,1111,51.16%,,,,,,,,,
"法文一上",陳素麗,1111,28.21%,,,,,,,,,
"法文一上",陳維玲,1111,76.67%,,,,,,,,,
"法文一上",陳素麗,1121,24.32%,,,,,,,,,
"法文一上",陳素麗,1121,,,24.32%,,,,,,,
"法文一下",陳素麗,1112,48.28%,,,,,,,,,
"法文一下",陳素麗,1122,,,27.27%,,,,,,,
"法文三上",謝艾米,1111,,,52.94%,0%,0%,0%,0%,0%,0%,0%
"法律史",陳昭如,1112,10.71%,,,,,,,,,
"法律經濟學概論",陳恭平,1111,29.63%,,,,,,,,,
"法國近代史",秦曼儀,1122,10.26%,56.41%,,,,,,,,
"法學緒論",陳昭如,1121,,,33.33%,,,,,,,
"法學緒論",陳昭如,1121,4.35%,20.29%,,,,,,,,
"物理化學一-熱力學",陸駿逸,1111,,,,,,,,,,6.33%
"物理化學一-熱力學",陸駿逸,1111,,,,15.19%,,,,,,
"物質文化研究",張正衡,1121,,,,19.44%,,,,,,
"知識論",周先捷,1111,45.71%,31.43%,,,,,,,,
"社會工作概論",李美儀 Ciwang Teyra,1111,54.29%,,,,,,,,,
"社會心理學",李怡青,1111,,,28.71%,,,,,,,
"社會心理學",藍佩嘉,1112,1.98%,,,,,,,,,
"社會心理學",藍佩嘉,1112,,,43.56%,,,,,,,
"社會學",陳玉華,1111,22.39%,,,,,,,,,
"社會學",曾嬿芬,1111,,,39.24%,,,,,,,
"社會學",李令儀,1111,,,,,4.48%,,,,,
"社會學",李令儀,1112,27.35%,56.41%,,,,,,,,
"社會學",李令儀,1111,37.25%,,,,,,,,,
"社會學",劉仲恩,1112,15.54%,20.27%,,,,,,,,
"社會學",李令儀,1112,23.68,,,,,,,,,
"社會學甲上",陳東升,1111,13.16%,,,,,,,,,
"社會學甲下",陳東升,1112,10.43%,17.39%,,,,,,,,
"空間資訊",余化龍,1112,20.83%,22.92%,,,,,,,,
"近代物理",李峻霣,1111,62.82%,,,,,,,,,
"近代物理",楊耀中,1111,,,12.50%,,,,,,,
"近代臺灣的歷程",周婉窈,1112,27.59%,,,,,,,,,
"非線性光學",孫啟光,1112,33.33%,,,,,,,,,
"非營利組織經營與管理(NPO之戀)",粘曉菁,1111,81.90%,,,,,,,,,
"非營利組織經營與管理（NPO之戀）",粘曉菁,1112,90.60%,,,,,,,,,
"俄文一上",熊宗慧,1111,,,19.05%,,,,,,,
"俠義文學",徐富昌,1112,,,25.11%,,,,,,,
"信號與系統",李琳山,1112,,,,,22.50%,,,,,
"信號與系統",李琳山,1112,,,12.50%,,,,,,,
"信號與系統",王鈺強,1112,7.84%,8.82%,,,,,,,,
"信號與系統",李坤彥,1112,10.87%,,,,,,,,,
"前瞻資訊科技一",陳祝嵩,1111,63.51%,,,,,,,,,
"室內五人制足球",楊睿中,111-2,98%,,,,,,,,,
"政治社會學",林國明,1111,16.28%,,,,,,,,,
"政治經濟學",童涵浦,1101,,55.70%,,,,,,,,
"政治學一",黃凱苹,1111,55.67%,,,,,,,,,
"政治學一",黃凱苹,1121,,,23.91%,,,,,,,
"政治學一",童涵浦,1111,8.89%,25.93%,,,,,,,,
"政治學二",童涵浦,1112,11.76%,16.67%,,,,,,,,
"政治學方法論",張貴閔,1111,17.46%,50.79%,,,,,,,,
"政治學概論",王業立,1111,25.58%,,,,,,,,,
"政治學概論",王業立,1112,,,18.33%,,,,,,,
"星星月亮太陽－天文漫談",橋本康弘,1111,51.72%,,,,,,,,,
"柔道初級",黃國恩,1111,17.14%,,,,,,,,,
"毒道之處~看不見的危機!",姜至剛,1111,33.91%,,,,,,,,,
"毒道之處～看不見的危機!",姜至剛,1111,,,13.79%,,,,,,,
"毒道之處～看不見的危機！",姜至剛,1112,16.33%,38.78%,,,,,,,,
"毒道之處～看不見的危機!",姜至剛,1122,16.02%,32.04%,,,,,,,,
"活出快樂:科學實證與演練",戴可馨,1111,69.77%,,,,,,,,,
"活出快樂:科學實證與演練",戴可馨,1112,74.37%,,,,,,,,,
"流體力學",吳富春,1111,0%,8.33%,8.33%,,,,,,,
"流體力學",黃信富,1112,,,17.11%,,,,,,,
"流體力學試驗",許少瑜、游晟暐,1112,9.52%,,,,,,,,,
"流體力學導論",周逸儒,1111,0%,6.67%,,,,,,,,
"流體力學導論",周逸儒,1111,,,,10%,,,,,,
"相控陣列雷達訊號處理",黃彥銘,1121,42.86,,,,,,,,,
"研究方法與論文寫作",鄭瑋,1111,55.77%,,,,,,,,,
"科技創新與會計實務",區耀軍,1111,19.23%,53.85%,,,,,,,,
"科學傳播",林維真,1112,54.84%,,,,,,,,,
"英文（附一小時英聽）",簡瑞碧,1111,,58.33%,,,,,,,,
